Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,6965.000000,7000.000000,6820.000000,6935.000000,6525.082520,91920000
2020-12-18,6935.000000,6935.000000,6755.000000,6800.000000,6398.062500,147238500
2020-12-21,6890.000000,6890.000000,6800.000000,6830.000000,6426.289551,93692500
2020-12-22,6740.000000,6820.000000,6710.000000,6715.000000,6318.087402,61790500
2020-12-23,6905.000000,6905.000000,6620.000000,6725.000000,6327.495605,76948000
2020-12-28,6790.000000,6820.000000,6660.000000,6780.000000,6379.245117,60234000
2020-12-29,6775.000000,6810.000000,6740.000000,6765.000000,6365.131348,34212500
2020-12-30,6800.000000,6800.000000,6700.000000,6770.000000,6369.835449,52675500
2021-01-04,6800.000000,6855.000000,6720.000000,6835.000000,6430.994141,47937000
2021-01-05,6860.000000,7090.000000,6850.000000,7090.000000,6670.920898,104831000
2021-01-06,7050.000000,7075.000000,6880.000000,6945.000000,6534.491699,89753500
2021-01-07,7000.000000,7050.000000,6910.000000,6965.000000,6553.310059,71360000
2021-01-08,7035.000000,7080.000000,6975.000000,7050.000000,6633.286133,75033500
2021-01-11,7150.000000,7360.000000,7145.000000,7345.000000,6910.848633,169034500
2021-01-12,7345.000000,7380.000000,7160.000000,7160.000000,6736.783203,95235000
2021-01-13,7245.000000,7275.000000,7070.000000,7120.000000,6699.147949,76581500
2021-01-14,7050.000000,7090.000000,6995.000000,7020.000000,6605.059082,89319500
2021-01-15,7095.000000,7100.000000,6840.000000,6955.000000,6543.900879,89853500
2021-01-18,6955.000000,7125.000000,6845.000000,7120.000000,6699.147949,86343000
2021-01-19,7120.000000,7120.000000,7005.000000,7095.000000,6675.625000,73777000
2021-01-20,7165.000000,7295.000000,7070.000000,7095.000000,6675.625000,107216000
2021-01-21,7280.000000,7300.000000,7060.000000,7075.000000,6656.808105,66428000
2021-01-22,7075.000000,7160.000000,7075.000000,7080.000000,6661.512207,80829000
2021-01-25,7200.000000,7200.000000,7000.000000,7035.000000,6619.172363,76836500
2021-01-26,6955.000000,7000.000000,6820.000000,6820.000000,6416.880371,98658000
2021-01-27,6820.000000,6930.000000,6705.000000,6790.000000,6388.653809,97920000
2021-01-28,6790.000000,6925.000000,6790.000000,6900.000000,6492.151855,104627000
2021-01-29,6900.000000,7000.000000,6760.000000,6760.000000,6360.426758,132762500
2021-02-01,6760.000000,6920.000000,6595.000000,6820.000000,6416.880371,113129000
2021-02-02,6965.000000,6980.000000,6800.000000,6800.000000,6398.062500,86741000
2021-02-03,7000.000000,7000.000000,6825.000000,6825.000000,6421.584961,67291000
2021-02-04,6920.000000,7000.000000,6835.000000,6855.000000,6449.811035,80950500
2021-02-05,6870.000000,6950.000000,6855.000000,6915.000000,6506.265137,51602000
2021-02-08,7050.000000,7055.000000,6880.000000,6920.000000,6510.969238,45604000
2021-02-09,7000.000000,7030.000000,6955.000000,6980.000000,6567.422852,75574000
2021-02-10,7050.000000,7050.000000,6900.000000,6920.000000,6510.969238,44984500
2021-02-11,6985.000000,6985.000000,6840.000000,6880.000000,6473.333496,36926000
2021-02-15,6830.000000,6890.000000,6720.000000,6800.000000,6398.062500,83922000
2021-02-16,6880.000000,6945.000000,6830.000000,6940.000000,6529.787109,47221000
2021-02-17,6890.000000,6960.000000,6850.000000,6900.000000,6492.151855,66011500
2021-02-18,6850.000000,6900.000000,6735.000000,6735.000000,6336.904297,91204000
2021-02-19,6780.000000,6850.000000,6760.000000,6825.000000,6421.584961,70487500
2021-02-22,6900.000000,6940.000000,6790.000000,6790.000000,6388.653809,68913000
2021-02-23,6820.000000,6845.000000,6775.000000,6825.000000,6421.584961,58360000
2021-02-24,6825.000000,6835.000000,6725.000000,6725.000000,6327.495605,71869000
2021-02-25,6740.000000,6770.000000,6680.000000,6705.000000,6308.677734,78688000
2021-02-26,6705.000000,6810.000000,6645.000000,6710.000000,6313.382324,173631500
2021-03-01,6830.000000,7045.000000,6800.000000,7045.000000,6628.581543,205539000
2021-03-02,7120.000000,7160.000000,7000.000000,7015.000000,6600.354492,81446500
2021-03-03,7065.000000,7085.000000,7000.000000,7000.000000,6586.241211,84470000
2021-03-04,6905.000000,7000.000000,6720.000000,6720.000000,6322.791016,120802500
2021-03-05,6720.000000,6925.000000,6720.000000,6800.000000,6398.062500,111871500
2021-03-08,6950.000000,6950.000000,6720.000000,6720.000000,6322.791016,90883000
2021-03-09,6700.000000,6715.000000,6600.000000,6605.000000,6214.588867,135582000
2021-03-10,6720.000000,6720.000000,6620.000000,6705.000000,6308.677734,50302000
2021-03-12,6875.000000,6880.000000,6715.000000,6765.000000,6365.131348,74328000
2021-03-15,6815.000000,6820.000000,6665.000000,6665.000000,6271.041992,57416000
2021-03-16,6710.000000,6710.000000,6620.000000,6625.000000,6233.407227,70755500
2021-03-17,6650.000000,6665.000000,6605.000000,6610.000000,6219.293457,71474500
2021-03-18,6620.000000,6720.000000,6610.000000,6705.000000,6308.677734,70067500
2021-03-19,6770.000000,6770.000000,6625.000000,6760.000000,6360.426758,125853000
2021-03-22,6640.000000,6680.000000,6610.000000,6620.000000,6228.702637,67523500
2021-03-23,6720.000000,6720.000000,6555.000000,6565.000000,6176.953125,127762500
2021-03-24,6515.000000,6550.000000,6420.000000,6440.000000,6059.341797,152050000
2021-03-25,6400.000000,6440.000000,6330.000000,6370.000000,5993.479492,119101500
2021-03-26,6370.000000,6445.000000,6300.000000,6415.000000,6035.819336,134467500
2021-03-29,6410.000000,6515.000000,6360.000000,6360.000000,5984.070313,113370500
2021-03-30,6370.000000,6455.000000,6370.000000,6395.000000,6017.001953,83115500
2021-03-31,6390.000000,6395.000000,6145.000000,6215.000000,5847.641113,223390500
2021-04-01,6215.000000,6270.000000,6155.000000,6225.000000,5857.049805,112286000
2021-04-05,6250.000000,6290.000000,6155.000000,6155.000000,5791.187988,73311500
2021-04-06,6135.000000,6170.000000,6080.000000,6165.000000,5800.597168,80215000
2021-04-07,6155.000000,6275.000000,6135.000000,6250.000000,5880.572266,107908000
2021-04-08,6200.000000,6215.000000,6125.000000,6135.000000,5853.285645,123697500
2021-04-09,6315.000000,6320.000000,6145.000000,6200.000000,5915.300781,116961000
2021-04-12,6295.000000,6295.000000,6060.000000,6065.000000,5786.500000,110411500
2021-04-13,6050.000000,6060.000000,5980.000000,6000.000000,5724.484375,119211500
2021-04-14,6105.000000,6305.000000,6060.000000,6305.000000,6015.479004,135519500
2021-04-15,6305.000000,6310.000000,6180.000000,6280.000000,5991.627441,102686500
2021-04-16,6370.000000,6370.000000,6215.000000,6275.000000,5986.856934,79293500
2021-04-19,6275.000000,6280.000000,6230.000000,6270.000000,5982.086914,47095000
2021-04-20,6200.000000,6250.000000,6185.000000,6235.000000,5948.693359,72721000
2021-04-21,6200.000000,6225.000000,6165.000000,6165.000000,5881.908203,68397000
2021-04-22,6200.000000,6275.000000,6180.000000,6215.000000,5929.611816,63758000
2021-04-23,6280.000000,6395.000000,6225.000000,6390.000000,6096.576172,108498500
2021-04-26,6395.000000,6400.000000,6280.000000,6285.000000,5996.397461,108742000
2021-04-27,6370.000000,6435.000000,6355.000000,6405.000000,6110.887695,132650000
2021-04-28,6400.000000,6405.000000,6315.000000,6320.000000,6029.790039,87660000
2021-04-29,6460.000000,6460.000000,6360.000000,6410.000000,6115.657227,57355000
2021-04-30,6450.000000,6450.000000,6380.000000,6405.000000,6110.887695,65829500
2021-05-03,6480.000000,6480.000000,6345.000000,6390.000000,6096.576172,42065500
2021-05-04,6350.000000,6430.000000,6340.000000,6400.000000,6106.116699,50123500
2021-05-05,6420.000000,6430.000000,6400.000000,6425.000000,6129.968750,51685000
2021-05-06,6400.000000,6450.000000,6400.000000,6425.000000,6129.968750,38115500
2021-05-07,6460.000000,6460.000000,6385.000000,6400.000000,6106.116699,48864000
2021-05-10,6400.000000,6420.000000,6395.000000,6420.000000,6125.198730,68180500
2021-05-11,6400.000000,6480.000000,6305.000000,6480.000000,6182.443359,70680000
2021-05-17,6500.000000,6500.000000,6375.000000,6500.000000,6201.524414,129058500
2021-05-18,6400.000000,6455.000000,6365.000000,6390.000000,6096.576172,73563000
2021-05-19,6380.000000,6400.000000,6335.000000,6345.000000,6053.642578,64912500
