Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,3350.000000,3375.000000,3300.000000,3337.500000,2905.603271,81480800
2020-12-18,3312.500000,3350.000000,3300.000000,3325.000000,2894.720947,56371400
2020-12-21,3337.500000,3362.500000,3287.500000,3300.000000,2872.956055,68494800
2020-12-22,3262.500000,3287.500000,3137.500000,3150.000000,2742.366943,127411600
2020-12-23,3150.000000,3212.500000,2975.000000,3125.000000,2720.602295,111054800
2020-12-28,3200.000000,3225.000000,3075.000000,3225.000000,2807.661621,61917400
2020-12-29,3225.000000,3237.500000,3125.000000,3150.000000,2742.366943,51736600
2020-12-30,3150.000000,3175.000000,3075.000000,3087.500000,2687.955078,76480000
2021-01-04,3125.000000,3200.000000,3050.000000,3187.500000,2775.014160,81711400
2021-01-05,3200.000000,3250.000000,3150.000000,3250.000000,2829.426514,68509200
2021-01-06,3262.500000,3275.000000,3100.000000,3200.000000,2785.896729,74299600
2021-01-07,3237.500000,3250.000000,3175.000000,3212.500000,2796.779297,74138800
2021-01-08,3212.500000,3250.000000,3187.500000,3237.500000,2818.544189,72826800
2021-01-11,3237.500000,3300.000000,3225.000000,3262.500000,2840.308594,149359200
2021-01-12,3300.000000,3337.500000,3237.500000,3250.000000,2829.426514,120481200
2021-01-13,3262.500000,3300.000000,3237.500000,3262.500000,2840.308594,84618200
2021-01-14,3262.500000,3300.000000,3212.500000,3225.000000,2807.661621,68392400
2021-01-15,3225.000000,3250.000000,3125.000000,3162.500000,2753.249512,105609800
2021-01-18,3150.000000,3187.500000,3100.000000,3150.000000,2742.366943,80840600
2021-01-19,3150.000000,3187.500000,3075.000000,3112.500000,2709.719971,88881200
2021-01-20,3100.000000,3237.500000,3100.000000,3212.500000,2796.779297,109658000
2021-01-21,3250.000000,3287.500000,3212.500000,3212.500000,2796.779297,59591200
2021-01-22,3200.000000,3225.000000,3125.000000,3137.500000,2731.484619,89496000
2021-01-25,3137.500000,3150.000000,3062.500000,3112.500000,2709.719971,62801600
2021-01-26,3112.500000,3137.500000,3000.000000,3037.500000,2644.425537,94759800
2021-01-27,3037.500000,3050.000000,2912.500000,2987.500000,2600.895996,121073600
2021-01-28,2900.000000,2975.000000,2850.000000,2887.500000,2513.836426,105682200
2021-01-29,2900.000000,2987.500000,2725.000000,2775.000000,2415.894775,155809200
2021-02-01,2775.000000,2937.500000,2625.000000,2925.000000,2546.483887,153317600
2021-02-02,2937.500000,3025.000000,2925.000000,2950.000000,2568.248535,113771800
2021-02-03,3025.000000,3200.000000,2987.500000,3150.000000,2742.366943,239553600
2021-02-04,3162.500000,3175.000000,3087.500000,3137.500000,2731.484619,100262200
2021-02-05,3175.000000,3187.500000,3112.500000,3150.000000,2742.366943,46060200
2021-02-08,3150.000000,3187.500000,3137.500000,3150.000000,2742.366943,44851400
2021-02-09,3137.500000,3200.000000,3100.000000,3112.500000,2709.719971,86257400
2021-02-10,3112.500000,3137.500000,3075.000000,3100.000000,2698.837646,30024200
2021-02-11,3125.000000,3125.000000,3075.000000,3100.000000,2698.837646,26663000
2021-02-15,3125.000000,3162.500000,3087.500000,3112.500000,2709.719971,53067000
2021-02-16,3125.000000,3187.500000,3087.500000,3175.000000,2764.132080,75821200
2021-02-17,3187.500000,3200.000000,3075.000000,3075.000000,2677.072754,89886200
2021-02-18,3050.000000,3100.000000,3000.000000,3012.500000,2622.660400,64395600
2021-02-19,3000.000000,3025.000000,2962.500000,3000.000000,2611.778320,51525600
2021-02-22,3000.000000,3037.500000,2962.500000,2962.500000,2579.131104,69472200
2021-02-23,2962.500000,3000.000000,2950.000000,2975.000000,2590.013428,38327600
2021-02-24,2987.500000,3050.000000,2987.500000,3037.500000,2644.425537,62323600
2021-02-25,3075.000000,3100.000000,3037.500000,3037.500000,2644.425537,68416400
2021-02-26,2975.000000,3050.000000,2962.500000,2975.000000,2590.013428,135017000
2021-03-01,3000.000000,3112.500000,2987.500000,3112.500000,2709.719971,82388800
2021-03-02,3137.500000,3150.000000,3050.000000,3075.000000,2677.072754,57119200
2021-03-03,3075.000000,3100.000000,3012.500000,3012.500000,2622.660400,64855000
2021-03-04,3012.500000,3037.500000,2987.500000,3000.000000,2611.778320,35366800
2021-03-05,2950.000000,3025.000000,2937.500000,3000.000000,2611.778320,48207200
2021-03-08,3037.500000,3050.000000,3000.000000,3000.000000,2611.778320,24737800
2021-03-09,3037.500000,3050.000000,2962.500000,2987.500000,2600.895996,43320000
2021-03-10,3012.500000,3050.000000,2975.000000,3025.000000,2633.542969,30935000
2021-03-12,3062.500000,3100.000000,3025.000000,3075.000000,2677.072754,74997200
2021-03-15,3100.000000,3175.000000,3075.000000,3162.500000,2753.249512,133769600
2021-03-16,3162.500000,3187.500000,3100.000000,3112.500000,2709.719971,56139400
2021-03-17,3112.500000,3112.500000,3050.000000,3050.000000,2655.307861,44703400
2021-03-18,3100.000000,3162.500000,3075.000000,3137.500000,2731.484619,88289600
2021-03-19,3125.000000,3137.500000,3075.000000,3075.000000,2677.072754,59625600
2021-03-22,3087.500000,3112.500000,3037.500000,3050.000000,2655.307861,40516200
2021-03-23,3050.000000,3100.000000,3037.500000,3050.000000,2655.307861,38971000
